collection,name,description,image_url,owner,twitter_username,contracts
journey-64,Journey,,,0xf7d2015c19b05b7629643d929b56d204f0285aac,,"[{'address': '0x1c151d14eb4456d8d57298b09729b9e4e7197d9e', 'chain': 'ethereum'}]"
qrpunksascii,QrPunk,QrPunk: a unique ASCII art collection inspired by the original Crypto Punk series. Dive into the world of retro digital art with our distinctive creations.,https://i.seadn.io/s/raw/files/0c2727bbc6971deb92fadcd80a4cc25b.gif?w=500&auto=format,0xfe244083cd940aafbc582c83bcd226e840b46b0e,,"[{'address': '0x2a99a4d5b91e68dbcb8acb89b80a165e13b93995', 'chain': 'ethereum'}]"
good-morning-world-2,Good Morning World,,,0xf9be59246c5097d80c40c112af9678b2e06ea939,,"[{'address': '0x1a131c24e86ebb45ebba6ba9063e40ac42dfe360', 'chain': 'ethereum'}]"
notice-forest-digital-twin-project-1,Notice Forest Digital Twin Project,,https://raw.seadn.io/files/5a99ecf20aad65de7c945f0e379022bb.tiff,0xd08d3b5915a464eb98434d0a5c54a1bf6f7a2ea9,,"[{'address': '0x22130255c976fee8d94974d950d8537bb9d9404a', 'chain': 'ethereum'}]"
the-lost-and-lonely,The Lost and Lonely,,,0xdc69d67ed6782ac5836a581250fb594dfba2a559,,"[{'address': '0xe5c134e7dfae8b3785bd295fc6854516064bbaaf', 'chain': 'ethereum'}]"
the-lost-5,The Lost,,,0xdc69d67ed6782ac5836a581250fb594dfba2a559,,"[{'address': '0x8f9f8a7f2173fc49fec02d669fa864ce29593390', 'chain': 'ethereum'}]"
necromancy-painting,Necromancy Painting,,,0x259b0245554614320b07145ead52e214ff14dc7e,,"[{'address': '0xfc3bd35df1446094a9a2b9fa6b43bac5c8294d9b', 'chain': 'ethereum'}]"
artefak-1,ARTEFAK,,,0x39e2da5ac68b45ee1e1c440b103b20112e8adad8,,"[{'address': '0xfd554fe8692498095f09b92ffb2f89a529fa337b', 'chain': 'ethereum'}]"
oceandao-io,oceandao.io,,,0x8f21552d448a9aca84cd28e00ce88b65bab089f3,,"[{'address': '0x11f84c68a9246137a662d63160a3bd735855ecf1', 'chain': 'ethereum'}]"
cryptospades,Crypto Spades,13 Limited Spades Cards from a limited unique deck,https://i.seadn.io/s/raw/files/b0a409eefd39935e50b9bb88d7d450f8.webp?w=500&auto=format,0x317c575afc6948ed4ec338b1c569e39cbd112ceb,,"[{'address': '0xcf2f703e0742f2124cc7bc05893267aec6f9bede', 'chain': 'ethereum'}]"
artandborze-5,artandborze,,,0x7d522e46c0ac74a39fcdf59636aba07d0cd23e7b,,"[{'address': '0xfe74c028795e96748584249d1f00eaeabadd0d55', 'chain': 'ethereum'}]"
digital-abstract-color-study-series-2024,Digital Abstract Color Study Series 2024,,,0x124ac65df63302698c38dcd7a4bbfb54944c8822,,"[{'address': '0x2527b1f98471cc1b070e9cade220ddeeb5099066', 'chain': 'ethereum'}]"
artandborze-4,artandborze,,,0x7d522e46c0ac74a39fcdf59636aba07d0cd23e7b,,"[{'address': '0xeebee31955cf90b2f84e02f4fad54f7acd4bc048', 'chain': 'ethereum'}]"
